"[13] D. Hendrycks, C. Burns, S. Kadavath, A. Arora, S. Basart, E. Tang, D. Song, and J. Steinhardt.",""
"","Measuring mathematical problem solving with the math dataset, 2021."
"[14]","J. Hoffmann, S. Borgeaud, A. Mensch, E. Buchatskaya, T. Cai, E. Rutherford, D. de Las Casas,"
"","L. A. Hendricks, J. Welbl, A. Clark, T. Hennigan, E. Noland, K. Millican, G. van den Driessche,"
"","B. Damoc, A. Guy, S. Osindero, K. Simonyan, E. Elsen, J. W. Rae, O. Vinyals, and L. Sifre. Training"
"","compute-optimal large language models, 2022."
"[15]","J. Huang, X. Chen, S. Mishra, H. S. Zheng, A. W. Yu, X. Song, and D. Zhou. Large language models"
"","cannot self-correct reasoning yet, 2023."
"","[16] A. L. Jones. Scaling scaling laws with board games, 2021. URL https://arxiv.org/abs/2104."
"","03113."
"[17] D. Kahneman. Maps of bounded rationality: Psychology for behavioral economics. The American",""
"","Economic Review, 93(5):1449–1475, 2003."
"[18] D. Kahneman. Thinking, fast and slow. Farrar, Straus and Giroux, New York, first paperback edition",""
"","edition, 2013."
"",""
"","In European conference on machine"
"","learning, pages 282–293. Springer, 2006."
"[20] A. Lewkowycz, A. Andreassen, D. Dohan, E. Dyer, H. Michalewski, V. Ramasesh, A. Slone, C. Anil,",""
"","I. Schlag, T. Gutman-Solo, Y. Wu, B. Neyshabur, G. Gur-Ari, and V. Misra. Solving quantitative"
"","reasoning problems with language models, 2022."
"[21] Y. Li, Z. Lin, S. Zhang, Q. Fu, B. Chen, J.-G. Lou, and W. Chen. Making large language models",""
"","better reasoners with step-aware verifier, 2023."
"[22] H. Lightman, V. Kosaraju, Y. Burda, H. Edwards, B. Baker, T. Lee, J. Leike, J. Schulman, I. Sutskever,",""
"","and K. Cobbe. Let’s verify step by step, 2023."
"[23] A. Madaan, N. Tandon, P. Gupta, S. Hallinan, L. Gao, S. Wiegreffe, U. Alon, N. Dziri, S. Prabhumoye,",""
"","Y. Yang, S. Gupta, B. P. Majumder, K. Hermann, S. Welleck, A. Yazdanbakhsh, and P. Clark. Self-"
"","refine:
Iterative refinement with self-feedback, 2023."
"[24] N. McAleese, R. Pokorny, J. F. Cerón Uribe, E. Nitishinskaya, M. Trębacz, and J. Leike. Llm critics",""
"","help catch llm bugs. OpenAI, 2024."
