"a","","CMO-HfOx ReRAM during programming","","","","","","","","","b","Identical-pulse closed-loop scheme"
"","","","","","","","","","","35","",""
"1.00","","","","","","","","","","","V [a.u.]",""
"","","","Acceptance Range: 0.2% Gtarget","","","","","","","32","Vset",""
"","","","","","","","","","","","Vread",""
"0.75","","","","","","","","","","","",""
"","","","","","","","","","","","","time [a.u.]"
"","","","","","","","","","","","Vreset",""
"Cumulative Distribution Function
0.50","","","","","","","","","","States","",""
"","","","","","","","","","","16","",""
"","","","","","","","","","","","G [a.u.]",""
"","","","","","","","","","","","","±Acc. Range"
"0.25","","","","","","","","","","","Gtarget",""
"","","","","","","","","","","8","",""
"0.00","","","","","","","","","","1","",""
"","10","20","30","40","50","60","70","80","90","","","time [a.u.]"
"","","","","Target Conductance [µS]","","","","","","","",""
