query,baseline_precision,baseline_recall,baseline_ndcg,baseline_grounding,baseline_ctx_len,baseline_latency,multimodal_precision,multimodal_recall,multimodal_ndcg,multimodal_grounding,multimodal_ctx_len,multimodal_latency,raptor_precision,raptor_recall,raptor_ndcg,raptor_grounding,raptor_ctx_len,raptor_latency
What is the scaling law between model size and loss?,0.6,1.0,0.9674679834891693,1.0,565,0.17173242568969727,0.4,1.0,0.9197207891481876,1.0,288,0.08714485168457031,0.6,1.0,0.9674679834891693,1.0,565,0.19861125946044922
What memory bandwidth limits affect FlashAttention-2?,0.6,1.0,0.9469024295259745,1.0,327,0.02823162078857422,0.4,1.0,0.9197207891481876,1.0,236,0.10550570487976074,0.4,1.0,0.9197207891481876,1.0,334,0.16582512855529785
Describe the PagedAttention mechanism.,0.8,1.0,1.0,1.0,648,0.02836441993713379,0.6,1.0,0.8854598815714874,1.0,438,0.10642504692077637,1.0,1.0,1.0,1.0,605,0.14827370643615723
What governs speedup in speculative decoding?,0.4,1.0,0.5012658353418871,1.0,745,0.027881622314453125,0.0,0.0,0.0,0.6666666666666666,384,0.10720467567443848,0.4,1.0,0.5437713091520254,1.0,638,0.13318276405334473
How does vLLM improve throughput for LLM inference?,0.2,1.0,0.38685280723454163,1.0,510,0.028057336807250977,0.0,0.0,0.0,0.5,156,0.10410261154174805,0.8,1.0,0.7606395682357036,1.0,537,0.15547680854797363
What are the key differences between FlashAttention and FlashAttention-2?,0.8,1.0,1.0,1.0,253,0.029007434844970703,0.6,1.0,0.8854598815714874,1.0,131,0.10958147048950195,0.8,1.0,1.0,1.0,253,0.12715601921081543
What does the Chinchilla scaling law state?,1.0,1.0,1.0,1.0,424,0.027983665466308594,0.6,1.0,0.8854598815714874,1.0,267,0.10591602325439453,0.0,0.0,0.0,0.0,843,0.12758731842041016
How do scaling laws inform the optimal model size for a given compute budget?,0.4,1.0,0.8503449055347546,1.0,567,0.027498483657836914,0.2,1.0,1.0,1.0,331,0.10750126838684082,0.2,1.0,0.38685280723454163,1.0,674,0.1484675407409668
What is speculative decoding and how is it implemented?,1.0,1.0,1.0,1.0,518,0.028820037841796875,0.6,1.0,0.8854598815714874,1.0,247,0.10711455345153809,1.0,1.0,1.0,1.0,617,0.15156054496765137
How does retrieval-augmented generation (RAG) help with scaling large models?,0.4,1.0,1.0,1.0,647,0.02837085723876953,0.4,1.0,0.9197207891481876,1.0,306,0.10874032974243164,0.0,0.0,0.0,0.0,887,0.15851640701293945
Explain the concept of model scaling versus data scaling.,0.2,1.0,0.43067655807339306,1.0,621,0.02780914306640625,0.0,0.0,0.0,1.0,363,0.10816431045532227,0.6,1.0,0.6797310500037655,1.0,633,0.1372239589691162
What is the effect of batch size on model training dynamics?,1.0,1.0,1.0,1.0,549,0.027864456176757812,0.6,1.0,0.8854598815714874,1.0,320,0.10619044303894043,1.0,1.0,1.0,1.0,458,0.16728663444519043
What optimizations enable FlashAttention to be faster than standard attention?,1.0,1.0,1.0,1.0,402,0.02829265594482422,0.6,1.0,0.8854598815714874,1.0,286,0.10451745986938477,1.0,1.0,1.0,1.0,402,0.15988492965698242
How does PagedAttention in vLLM manage GPU memory?,0.6,1.0,0.9674679834891693,1.0,717,0.028375864028930664,0.4,1.0,0.9197207891481876,1.0,424,0.10690832138061523,0.6,1.0,1.0,1.0,865,0.15233373641967773
What are the limitations of scaling laws at extreme model sizes?,0.0,0.0,0.0,0.5,670,0.048036813735961914,0.0,0.0,0.0,0.5,293,0.09925055503845215,0.0,0.0,0.0,0.5,633,0.1604616641998291
How do performance scaling trends deviate from theoretical predictions?,0.2,1.0,0.43067655807339306,1.0,718,0.028613567352294922,0.0,0.0,0.0,0.5,349,0.10303115844726562,0.4,1.0,0.6509209298071326,1.0,554,0.13557863235473633
How does architecture (depth vs width) impact scaling laws?,0.0,0.0,0.0,0.5,653,0.028677701950073242,0.0,0.0,0.0,0.5,352,0.11159658432006836,0.0,0.0,0.0,0.5,555,0.1499488353729248
What do scaling laws suggest about transfer learning?,0.0,0.0,0.0,1.0,286,0.02735733985900879,0.0,0.0,0.0,1.0,161,0.10400533676147461,0.2,1.0,0.6309297535714575,1.0,985,0.14667844772338867
What is the relationship between model compute and performance according to scaling laws?,0.4,1.0,0.8503449055347546,1.0,530,0.027783632278442383,0.2,1.0,1.0,1.0,315,0.10744905471801758,0.2,1.0,0.43067655807339306,1.0,751,0.1398310661315918
What are the diminishing returns in model scaling?,0.2,1.0,0.43067655807339306,1.0,665,0.028399944305419922,0.0,0.0,0.0,0.0,377,0.1043243408203125,0.0,0.0,0.0,0.0,599,0.1474595069885254
