"","","","","SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models","","","","","","","","","","","","",""
"","","","","","","","","","","","FP16","","","SmoothQuant","","",""
"","","","","","","","","","","","380","","","","490
489","","848"
"200","","","","","181","400","","","","","","500","","","900","",""
"","","","","","","","","","","","","","","FP16 (2 GPUs)","","","FP16 (8 GPUs)
720"
"150","","","","","125","300","","","","","249","375","","SmoothQuant (1 GPU)","675","","SmoothQuant (4 GPUs)"
"","","","","87","","","","","","186","","","","236
229","","","432"
"Latency (ms)
100","","","","","","200","","","","","","250","","","450","","366"
"","","","","63","","","","","","119","","","","","","",""
"","","","44","","","","","","98","","","","","131
122","","","228
194"
"50","28","","33","","","100","59","","65","","","125","79","75","225","139","122"
"","","22","","","","","","43","","","","","","","","",""
"0","","","","","","0","","","","","","0","","","0","",""
"","128","","256","512","1024","","128","","256","512","1024","","128","256
512","1024","128","256
512
1024"
"","","","","","30","","","","","","64","","130","134
131","139","369","389
378
372"
"","27","","27","27","","","","","","61","","","","","","",""
"30","","","","","","70","59","","60","","","140","","","400","",""
"","","","","17","19","","","","","","","","","","","",""
"","","15","16","","","","","","32","34","37","","","69
67
66","74","","200
189
184"
"Memory (GB)","","","","","","","","32","","","","","","","","","182"
"15","","","","","","35","","","","","","70","","","200","",""
"0","","","","","","0","","","","","","0","","","0","",""
