"","Orca (Oracle)
vLLM","","","vLLM (bs 8)","vLLM (bs 32)","","","","","",""
"","","","FT (bs 8)","","FT (bs 32)","17.5","","","ShareGPT","",""
"","","250","","","","","","","","",""
"1.0","1.0","","","","","15.0","","","Alpaca","",""
"","","200","","","","","","","","",""
"","","","","","","12.5","","","","",""
"","","150","","","","Normalized latency (s/token)
10.0","","","","",""
"","","Kernel latency (us)","","","","7.5","","","","",""
"","","","","","","","","","","",""
"0.5","0.5","100","","","","","","","","",""
"","","","","","","5.0","","","","",""
"(s/token)","","50","","","","2.5","","","","",""
"","","0","","","","0.0","","","","",""
"","","","64","128","256","","1","2","4","8","16"
"0.0","0.0","","","Context length","","","","","","","Block size"
