"List of Figures","","","","","","","","","","","","","","","","","","",""
"1","Summary of simple power laws.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3"
"2","Illustration of sample efﬁciency and compute efﬁciency.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4"
"3","How to scale up model size, batch size, and serial steps
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4"
"4","","Performance when varying model and data size, or model and training steps, simultaneously","","","","","","","","","","","","","","","","","5"
"5","Weak dependence of performance on hyperparameter tuning",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8"
"6","","Comparison of performance trend when including or excluding embeddings","","","","","","","",".",".",".",".",".",".",".",".",".","8"
"7","LSTM and Transformer performance comparison
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","9"
"8","Generalization to other test datasets
.
.
.
.
.
.
.
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10"
"9","Universality of overﬁtting .
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11"
"10","Critical batch size
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","12"
"11","","Performance versus compute budget or number of parameter updates .","","","","",".",".",".",".",".",".",".",".",".",".",".",".","14"
"12","Training on suboptimal models
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","15"
"13","Comparison between empirical and adjusted compute trends",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","15"
"14","","Optimal model size and serial number of steps versus compute budget","","","","",".",".",".",".",".",".",".",".",".",".",".",".","16"
"15","Contradiction between compute and data trends
.
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","17"
"16","","Early stopping lower bound and training curves for overﬁt models","","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","23"
"17","Universal transformers
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","24"
"18","Batch size scans
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","24"
"19","Another look at sample efﬁciency
.
.
.
.
.
.
.
.
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","24"
"20","Power-law dependence of performance on position in context",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","25"
"21","Performance at different context positions versus model size",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","25"
"22","Learning rate schedule scan .
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","26"
"23","Comparison of Power-Law and Logarithmic Fits
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","26"
"24","Generalization versus depth .
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","27"
