"a","","CMO-HfOx ReRAM during programming","","","","","","","","","b","Flowchart of the closed-loop scheme",""
"","","","","","","","","","","35","","",""
"1.00","","","","","","","","","","","","",""
"","","","Acceptance Range: 2% Gtarget","","","","","","","32","","Calculate acceptance range (AR) based on Gtarget",""
"","","","","","","","","","","","G
target ∈ [10,30]µS","G
G
target ∈ [30,60]µS","target ∈ [60,90]µS"
"0.75","","","","","","","","","","","","",""
"","","","","","","","","","","","Vset = 1.35V","Vset = 1.35V","Vset = 1.5V"
"","","","","","","","","","","","V
reset = -1.5V","V
reset = -1.3V","V
reset = -1.3V"
"Cumulative Distribution Function
0.50","","","","","","","","","","States","","",""
"","","","","","","","","","","16","","",""
"","","","","","","","","","","","G < Gtarget -AR
Apply SET","G > Gtarget + AR","Apply RESET"
"","","","","","","","","","","","","Measure G",""
"","","","","","","","","","","","pulse (Vset)","","pulse (Vreset)"
"0.25","","","","","","","","","","","","",""
"","","","","","","","","","","8","","G ∈ (Gtarget ±AR)",""
"","","","","","","","","","","","","Write",""
"","","","","","","","","","","","","Succeeds",""
"0.00","","","","","","","","","","1","","",""
"","10","20","30","40","50","60","70","80","90","","","",""
"","","","","Target Conductance [µS]","","","","","","","","",""
